Year,Géographie,data.Industry,Value
2018,Yukon,data.Other industries,0.002330363
2019,Yukon,data.Other industries,0.002272727
2015,Territoires du Nord-Ouest,"data.Total, all industries",0.032237197
2016,Territoires du Nord-Ouest,"data.Total, all industries",0.025572449
2017,Territoires du Nord-Ouest,"data.Total, all industries",0.011434109
2018,Territoires du Nord-Ouest,"data.Total, all industries",0.010414658
2019,Territoires du Nord-Ouest,"data.Total, all industries",0.010546649
2015,Territoires du Nord-Ouest,data.Utilities [BS220],0.0
2016,Territoires du Nord-Ouest,data.Utilities [BS220],0.0
2017,Territoires du Nord-Ouest,data.Utilities [BS220],0.0
2018,Territoires du Nord-Ouest,data.Utilities [BS220],0.0
2019,Territoires du Nord-Ouest,data.Utilities [BS220],0.0
2015,Territoires du Nord-Ouest,data.Engineering construction [BS23C],0.233333333
2016,Territoires du Nord-Ouest,data.Engineering construction [BS23C],0.196483516
2017,Territoires du Nord-Ouest,data.Engineering construction [BS23C],0.056291391
2018,Territoires du Nord-Ouest,data.Engineering construction [BS23C],0.031325301
2019,Territoires du Nord-Ouest,data.Engineering construction [BS23C],0.036990596
2015,Territoires du Nord-Ouest,data.Manufacturing [BS3A0],0.0
