Year,Geography,Age group,Sexe,Value
2017,Yukon,15 to 19 years,Hommes,
2018,Yukon,15 to 19 years,Hommes,
2019,Yukon,15 to 19 years,Hommes,
2020,Yukon,15 to 19 years,Hommes,17.0
2016,Yukon,15 to 19 years,Femmes,
2017,Yukon,15 to 19 years,Femmes,
2018,Yukon,15 to 19 years,Femmes,
2019,Yukon,15 to 19 years,Femmes,
2020,Yukon,15 to 19 years,Femmes,
2016,Yukon,15 to 24 years,Both sexes,13.0
2017,Yukon,15 to 24 years,Both sexes,14.0
2018,Yukon,15 to 24 years,Both sexes,12.0
2019,Yukon,15 to 24 years,Both sexes,8.0
2020,Yukon,15 to 24 years,Both sexes,14.0
2016,Yukon,15 to 24 years,Hommes,14.0
2017,Yukon,15 to 24 years,Hommes,
2018,Yukon,15 to 24 years,Hommes,
2019,Yukon,15 to 24 years,Hommes,
2020,Yukon,15 to 24 years,Hommes,17.0
2016,Yukon,15 to 24 years,Femmes,11.0
2017,Yukon,15 to 24 years,Femmes,20.0
2018,Yukon,15 to 24 years,Femmes,13.0
2019,Yukon,15 to 24 years,Femmes,
2020,Yukon,15 to 24 years,Femmes,
2016,Yukon,18 to 24 years,Both sexes,18.0
2017,Yukon,18 to 24 years,Both sexes,19.0
2018,Yukon,18 to 24 years,Both sexes,16.0
2019,Yukon,18 to 24 years,Both sexes,9.0
2020,Yukon,18 to 24 years,Both sexes,18.0
2016,Yukon,18 to 24 years,Hommes,21.0
2017,Yukon,18 to 24 years,Hommes,
2018,Yukon,18 to 24 years,Hommes,
2019,Yukon,18 to 24 years,Hommes,
2020,Yukon,18 to 24 years,Hommes,21.0
2016,Yukon,18 to 24 years,Femmes,15.0
2017,Yukon,18 to 24 years,Femmes,23.0
2018,Yukon,18 to 24 years,Femmes,16.0
2019,Yukon,18 to 24 years,Femmes,
2020,Yukon,18 to 24 years,Femmes,
2016,Yukon,20 to 24 years,Both sexes,19.0
2017,Yukon,20 to 24 years,Both sexes,21.0
2018,Yukon,20 to 24 years,Both sexes,17.0
2019,Yukon,20 to 24 years,Both sexes,
2020,Yukon,20 to 24 years,Both sexes,14.0
2016,Yukon,20 to 24 years,Hommes,21.0
2017,Yukon,20 to 24 years,Hommes,
2018,Yukon,20 to 24 years,Hommes,
2019,Yukon,20 to 24 years,Hommes,
2020,Yukon,20 to 24 years,Hommes,
2016,Yukon,20 to 24 years,Femmes,
2017,Yukon,20 to 24 years,Femmes,25.0
2018,Yukon,20 to 24 years,Femmes,19.0
2019,Yukon,20 to 24 years,Femmes,
2020,Yukon,20 to 24 years,Femmes,
2016,Yukon,25 to 29 years,Both sexes,17.0
2017,Yukon,25 to 29 years,Both sexes,17.0
2018,Yukon,25 to 29 years,Both sexes,16.0
2019,Yukon,25 to 29 years,Both sexes,11.0
2020,Yukon,25 to 29 years,Both sexes,19.0
2016,Yukon,25 to 29 years,Hommes,18.0
2017,Yukon,25 to 29 years,Hommes,
2018,Yukon,25 to 29 years,Hommes,
2019,Yukon,25 to 29 years,Hommes,
2020,Yukon,25 to 29 years,Hommes,
2016,Yukon,25 to 29 years,Femmes,17.0
2017,Yukon,25 to 29 years,Femmes,22.0
2018,Yukon,25 to 29 years,Femmes,26.0
2019,Yukon,25 to 29 years,Femmes,
2020,Yukon,25 to 29 years,Femmes,24.0
2016,Northwest Territories,Total 15 to 29 years,Both sexes,19.0
2017,Northwest Territories,Total 15 to 29 years,Both sexes,19.0
2018,Northwest Territories,Total 15 to 29 years,Both sexes,21.0
2019,Northwest Territories,Total 15 to 29 years,Both sexes,21.0
2020,Northwest Territories,Total 15 to 29 years,Both sexes,22.0
2016,Northwest Territories,Total 15 to 29 years,Hommes,21.0
2017,Northwest Territories,Total 15 to 29 years,Hommes,22.0
2018,Northwest Territories,Total 15 to 29 years,Hommes,23.0
2019,Northwest Territories,Total 15 to 29 years,Hommes,23.0
2020,Northwest Territories,Total 15 to 29 years,Hommes,22.0
2016,Northwest Territories,Total 15 to 29 years,Femmes,17.0
2017,Northwest Territories,Total 15 to 29 years,Femmes,16.0
2018,Northwest Territories,Total 15 to 29 years,Femmes,18.0
2019,Northwest Territories,Total 15 to 29 years,Femmes,19.0
2020,Northwest Territories,Total 15 to 29 years,Femmes,22.0
2016,Northwest Territories,15 to 19 years,Both sexes,12.0
2017,Northwest Territories,15 to 19 years,Both sexes,
2018,Northwest Territories,15 to 19 years,Both sexes,10.0
2019,Northwest Territories,15 to 19 years,Both sexes,
2020,Northwest Territories,15 to 19 years,Both sexes,13.0
2016,Northwest Territories,15 to 19 years,Hommes,
2017,Northwest Territories,15 to 19 years,Hommes,
2018,Northwest Territories,15 to 19 years,Hommes,
2019,Northwest Territories,15 to 19 years,Hommes,
2020,Northwest Territories,15 to 19 years,Hommes,
2016,Northwest Territories,15 to 19 years,Femmes,
2017,Northwest Territories,15 to 19 years,Femmes,
2018,Northwest Territories,15 to 19 years,Femmes,
2019,Northwest Territories,15 to 19 years,Femmes,
2020,Northwest Territories,15 to 19 years,Femmes,
2016,Northwest Territories,15 to 24 years,Both sexes,20.0
2017,Northwest Territories,15 to 24 years,Both sexes,19.0
2018,Northwest Territories,15 to 24 years,Both sexes,20.0
2019,Northwest Territories,15 to 24 years,Both sexes,19.0
2020,Northwest Territories,15 to 24 years,Both sexes,22.0
2016,Northwest Territories,15 to 24 years,Hommes,22.0
2017,Northwest Territories,15 to 24 years,Hommes,21.0
2018,Northwest Territories,15 to 24 years,Hommes,21.0
2019,Northwest Territories,15 to 24 years,Hommes,18.0
2020,Northwest Territories,15 to 24 years,Hommes,22.0
2016,Northwest Territories,15 to 24 years,Femmes,18.0
2017,Northwest Territories,15 to 24 years,Femmes,17.0
2018,Northwest Territories,15 to 24 years,Femmes,20.0
2019,Northwest Territories,15 to 24 years,Femmes,20.0
2020,Northwest Territories,15 to 24 years,Femmes,22.0
2016,Northwest Territories,18 to 24 years,Both sexes,27.0
2017,Northwest Territories,18 to 24 years,Both sexes,24.0
2018,Northwest Territories,18 to 24 years,Both sexes,27.0
2019,Northwest Territories,18 to 24 years,Both sexes,27.0
2020,Northwest Territories,18 to 24 years,Both sexes,29.0
2016,Northwest Territories,18 to 24 years,Hommes,29.0
2017,Northwest Territories,18 to 24 years,Hommes,27.0
2018,Northwest Territories,18 to 24 years,Hommes,27.0
2019,Northwest Territories,18 to 24 years,Hommes,24.0
2020,Northwest Territories,18 to 24 years,Hommes,31.0
2016,Northwest Territories,18 to 24 years,Femmes,24.0
2017,Northwest Territories,18 to 24 years,Femmes,21.0
2018,Northwest Territories,18 to 24 years,Femmes,26.0
2019,Northwest Territories,18 to 24 years,Femmes,29.0
2020,Northwest Territories,18 to 24 years,Femmes,28.0
2016,Northwest Territories,20 to 24 years,Both sexes,28.0
2017,Northwest Territories,20 to 24 years,Both sexes,28.0
2018,Northwest Territories,20 to 24 years,Both sexes,31.0
2019,Northwest Territories,20 to 24 years,Both sexes,33.0
2020,Northwest Territories,20 to 24 years,Both sexes,33.0
2016,Northwest Territories,20 to 24 years,Hommes,32.0
2017,Northwest Territories,20 to 24 years,Hommes,32.0
2018,Northwest Territories,20 to 24 years,Hommes,37.0
2019,Northwest Territories,20 to 24 years,Hommes,28.0
2020,Northwest Territories,20 to 24 years,Hommes,33.0
2016,Northwest Territories,20 to 24 years,Femmes,24.0
2017,Northwest Territories,20 to 24 years,Femmes,24.0
2018,Northwest Territories,20 to 24 years,Femmes,24.0
2019,Northwest Territories,20 to 24 years,Femmes,37.0
2020,Northwest Territories,20 to 24 years,Femmes,33.0
2016,Northwest Territories,25 to 29 years,Both sexes,18.0
2017,Northwest Territories,25 to 29 years,Both sexes,19.0
2018,Northwest Territories,25 to 29 years,Both sexes,22.0
2019,Northwest Territories,25 to 29 years,Both sexes,25.0
2020,Northwest Territories,25 to 29 years,Both sexes,23.0
2016,Northwest Territories,25 to 29 years,Hommes,20.0
2017,Northwest Territories,25 to 29 years,Hommes,24.0
2018,Northwest Territories,25 to 29 years,Hommes,28.0
2019,Northwest Territories,25 to 29 years,Hommes,33.0
2020,Northwest Territories,25 to 29 years,Hommes,23.0
2016,Northwest Territories,25 to 29 years,Femmes,17.0
2017,Northwest Territories,25 to 29 years,Femmes,
2018,Northwest Territories,25 to 29 years,Femmes,16.0
2019,Northwest Territories,25 to 29 years,Femmes,18.0
2020,Northwest Territories,25 to 29 years,Femmes,22.0
2016,Nunavut,Total 15 to 29 years,Both sexes,37.0
2017,Nunavut,Total 15 to 29 years,Both sexes,35.0
2018,Nunavut,Total 15 to 29 years,Both sexes,39.0
2019,Nunavut,Total 15 to 29 years,Both sexes,36.0
2020,Nunavut,Total 15 to 29 years,Both sexes,39.0
2016,Nunavut,Total 15 to 29 years,Hommes,39.0
2017,Nunavut,Total 15 to 29 years,Hommes,36.0
2018,Nunavut,Total 15 to 29 years,Hommes,42.0
2019,Nunavut,Total 15 to 29 years,Hommes,39.0
2020,Nunavut,Total 15 to 29 years,Hommes,42.0
2016,Nunavut,Total 15 to 29 years,Femmes,34.0
2017,Nunavut,Total 15 to 29 years,Femmes,34.0
2018,Nunavut,Total 15 to 29 years,Femmes,35.0
2019,Nunavut,Total 15 to 29 years,Femmes,32.0
2020,Nunavut,Total 15 to 29 years,Femmes,36.0
2016,Nunavut,15 to 19 years,Both sexes,23.0
2017,Nunavut,15 to 19 years,Both sexes,24.0
2018,Nunavut,15 to 19 years,Both sexes,25.0
2019,Nunavut,15 to 19 years,Both sexes,19.0
2020,Nunavut,15 to 19 years,Both sexes,25.0
2016,Nunavut,15 to 19 years,Hommes,
2017,Nunavut,15 to 19 years,Hommes,25.0
2018,Nunavut,15 to 19 years,Hommes,
2019,Nunavut,15 to 19 years,Hommes,
2020,Nunavut,15 to 19 years,Hommes,
2016,Nunavut,15 to 19 years,Femmes,
2017,Nunavut,15 to 19 years,Femmes,
2018,Nunavut,15 to 19 years,Femmes,
2019,Nunavut,15 to 19 years,Femmes,
2020,Nunavut,15 to 19 years,Femmes,
2016,Nunavut,15 to 24 years,Both sexes,34.0
2017,Nunavut,15 to 24 years,Both sexes,33.0
2018,Nunavut,15 to 24 years,Both sexes,37.0
2019,Nunavut,15 to 24 years,Both sexes,35.0
2020,Nunavut,15 to 24 years,Both sexes,37.0
2016,Nunavut,15 to 24 years,Hommes,35.0
2017,Nunavut,15 to 24 years,Hommes,34.0
2018,Nunavut,15 to 24 years,Hommes,40.0
2019,Nunavut,15 to 24 years,Hommes,37.0
2020,Nunavut,15 to 24 years,Hommes,41.0
2016,Nunavut,15 to 24 years,Femmes,34.0
2017,Nunavut,15 to 24 years,Femmes,32.0
2018,Nunavut,15 to 24 years,Femmes,34.0
2019,Nunavut,15 to 24 years,Femmes,32.0
2020,Nunavut,15 to 24 years,Femmes,33.0
2016,Nunavut,18 to 24 years,Both sexes,44.0
2017,Nunavut,18 to 24 years,Both sexes,42.0
2018,Nunavut,18 to 24 years,Both sexes,48.0
2019,Nunavut,18 to 24 years,Both sexes,45.0
2020,Nunavut,18 to 24 years,Both sexes,47.0
2016,Nunavut,18 to 24 years,Hommes,43.0
2017,Nunavut,18 to 24 years,Hommes,44.0
2018,Nunavut,18 to 24 years,Hommes,49.0
2019,Nunavut,18 to 24 years,Hommes,48.0
2020,Nunavut,18 to 24 years,Hommes,53.0
2016,Nunavut,18 to 24 years,Femmes,44.0
2017,Nunavut,18 to 24 years,Femmes,40.0
2018,Nunavut,18 to 24 years,Femmes,47.0
2019,Nunavut,18 to 24 years,Femmes,42.0
2020,Nunavut,18 to 24 years,Femmes,40.0
2016,Nunavut,20 to 24 years,Both sexes,46.0
2017,Nunavut,20 to 24 years,Both sexes,44.0
2018,Nunavut,20 to 24 years,Both sexes,52.0
2019,Nunavut,20 to 24 years,Both sexes,53.0
2020,Nunavut,20 to 24 years,Both sexes,53.0
2016,Nunavut,20 to 24 years,Hommes,46.0
2017,Nunavut,20 to 24 years,Hommes,46.0
2018,Nunavut,20 to 24 years,Hommes,51.0
2019,Nunavut,20 to 24 years,Hommes,55.0
2020,Nunavut,20 to 24 years,Hommes,60.0
2016,Nunavut,20 to 24 years,Femmes,47.0
2017,Nunavut,20 to 24 years,Femmes,41.0
2018,Nunavut,20 to 24 years,Femmes,54.0
2019,Nunavut,20 to 24 years,Femmes,51.0
2020,Nunavut,20 to 24 years,Femmes,45.0
2016,Nunavut,25 to 29 years,Both sexes,42.0
2017,Nunavut,25 to 29 years,Both sexes,40.0
2018,Nunavut,25 to 29 years,Both sexes,42.0
2019,Nunavut,25 to 29 years,Both sexes,39.0
2020,Nunavut,25 to 29 years,Both sexes,43.0
2016,Nunavut,25 to 29 years,Hommes,47.0
2017,Nunavut,25 to 29 years,Hommes,41.0
2018,Nunavut,25 to 29 years,Hommes,46.0
2019,Nunavut,25 to 29 years,Hommes,43.0
2020,Nunavut,25 to 29 years,Hommes,45.0
2016,Nunavut,25 to 29 years,Femmes,36.0
2017,Nunavut,25 to 29 years,Femmes,40.0
2018,Nunavut,25 to 29 years,Femmes,37.0
2019,Nunavut,25 to 29 years,Femmes,34.0
2020,Nunavut,25 to 29 years,Femmes,42.0
